jurisdiction,booking_charge_desc,seriousness,category,type,notes,rcw,src,,,,,
pierce,COMM MINOR IMM,,gross misdemeanor,sex,can be felony if previous sexual offender,9.68a.090,http://apps.leg.wa.gov/rcw/default.aspx?cite=9.68a.090,,,,,
pierce,COMM W/MINOR FOR IMMORAL PURPOSE,,gross misdemeanor,sex,can be felony if previous sexual offender,9.68a.090,http://apps.leg.wa.gov/rcw/default.aspx?cite=9.68a.090,,,,,
pierce,COMMSEXABUSEMINOR,,class B felony,sex,,9.68A.100,http://app.leg.wa.gov/rcw/default.aspx?cite=9.68A.100,,,,,
pierce,COMPLICITY-AID/ABET,,other,other,may depend on crime being aided?,http://apps.leg.wa.gov/wac/default.aspx?cite=137-25-030,http://apps.leg.wa.gov/wac/default.aspx?cite=137-25-030,,,,,
pierce,CONDUCT ACTIVITY W/O LICENSE,,class B felony,public order,,,,,,,,
pierce,CONFINE AND IDENT. DANGEROUS DOG,,gross misdemeanor,public order,?,16.08.100,http://app.leg.wa.gov/RCW/default.aspx?cite=16.08.100,,,,,
pierce,CONSP COM MURDER,,class A felony,violent,,9A.28.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.28.040,,,,,
pierce,CONSP COMM PERJ 1,,class C felony,public order,,,,,,,,
pierce,CONSP DEL CS,,class C felony,drug,felony,,,,,,,
pierce,CONSUMER FRAUD TARGETING SENIORS,,civil infraction,public order,,9.35.060,http://app.leg.wa.gov/RCW/default.aspx?cite=9.35.060,,,,,
pierce,CONTEMPT - TRUANCY CRT ORD,,misdemeanor,public order,?,,,,,,,
pierce,CONTEMPT OF COURT,,misdemeanor,public order,fines,7.21,http://app.leg.wa.gov/rcw/default.aspx?cite=7.21&full=true,,,,,
pierce,CONTEMPT-TRUANCY CRT ORDER,,misdemeanor,public order,?,,,,,,,
pierce,CONTRIB DELIQUENCY MINOR,,misdemeanor,public order,"? misdemeanor in Grandview, WA: http://www.codepublishing.com/WA/Grandview/html/Grandview09/Grandview0932.html",,,,,,,
pierce,CONTROLLED SUBSTANCES HOMICIDE,,class B felony,drug,,69.50.415,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.415,,,,,
pierce,COUNTERFEITING,,misdemeanor,property,can be gross misdemeanor or class C felony,9.16.035,https://app.leg.wa.gov/rcw/default.aspx?cite=9.16.035,,,,,
pierce,COURT ORDER VIOLATION,,misdemeanor,public order,?,,,,,,,
pierce,CRIM ASLT /DV,,class C felony,violent,based on assult in 4th degree + dv,9A.36.041,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.36.041,,,,,
pierce,CRIM CONSPIRACY,,other,other,depends on nature of crime,9A.28.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.28.040,,,,,
pierce,CRIM IMPERSON 1,,class C felony,public order,,9A.60.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.60.040,,,,,
pierce,CRIM IMPERSON 2,,gross misdemeanor,public order,,9A.60.045,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.60.045,,,,,
pierce,CRIM MISCHIEF WITH A DEADLY WEAPON,,class C felony,violent,,9A.84.010,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.010,,,,,
pierce,CRIM MISTREAT 1,,class B felony,violent,,9A.42.020,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.42.020,,,,,
pierce,CRIM MISTREAT 2,,class C felony,violent,,9A.42.030,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.42.030,,,,,
pierce,CRIM MISTREAT 3,,gross misdemeanor,violent,,9A.42.035,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.42.035,,,,,
pierce,CRIM MISTREAT 4,,misdemeanor,violent,,9A.42.037,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.42.037,,,,,
pierce,CRIM TRESP,,gross misdemeanor,property,,,,,,,,
pierce,CRIM TRESP /DV,,gross misdemeanor,property,,,,,,,,
pierce,CRIM TRESP 1,,gross misdemeanor,property,,9A.52.070,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.52.070,,,,,
pierce,CRIM TRESP 1 /DV,,gross misdemeanor,property,,9A.52.070,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.52.070,,,,,
pierce,CRIM TRESP 2,,misdemeanor,property,,9A.52.080,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.52.080,,,,,
pierce,CRIM TRSP 1 /DV,,gross misdemeanor,property,,9A.52.070,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.52.070,,,,,
pierce,CRIM TRSP 2 /DV,,misdemeanor,property,,9A.52.080,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.52.080,,,,,
pierce,CRIMINAL ASLT,,gross misdemeanor,violent,not sure what to do with these general versions of other crimes,,,,,,,
pierce,CRIMINAL ASSAULT-DV,,class C felony,violent,not sure what to do with these general versions of other crimes,,,,,,,
pierce,CRIMINAL ATTEMPT,,other,other,depends on nature of crime,9A.28.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.28.040,,,,,
pierce,CRIMINAL CONSPIRACY,,other,other,depends on nature of crime,9A.28.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.28.040,,,,,
pierce,CRIMINAL SOLICITATION,,other,other,see criminal attempt,9A.28.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.28.040,,,,,
pierce,CUST ASLT,,class C felony,violent,,9A.36.100,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.36.100,,,,,
pierce,CUST INTER,,class C felony,violent,based on custodial interference 1,9A.40.060,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.40.060,,,,,
pierce,CYBERSTALKING,,gross misdemeanor,public order,can be class C felony,9.61.260,https://app.leg.wa.gov/rcw/default.aspx?cite=9.61.260,,,,,
pierce,DAMAGE FIRE ALARM,,misdemeanor,public order,,9.40.100,https://app.leg.wa.gov/rcw/default.aspx?cite=9.40.100,,,,,
pierce,DANGWPNSCHOOL,,gross misdemeanor,public order,,9.41.280,http://apps.leg.wa.gov/rcw/default.aspx?cite=9.41.280,,,,,
pierce,DATES AND TIMES TO SELL FIREWORKS,,misdemeanor,public order,,70.77#70.77.540,https://app.leg.wa.gov/rcw/default.aspx?cite=70.77&full=true#70.77.540,,,,,
pierce,DEAL DEP MIN ENG SEX EXP CONDUCT,,class B felony,sex,,9.68a#9.68A.050,http://app.leg.wa.gov/rcw/default.aspx?cite=9.68a&full=true#9.68A.050,,,,,
pierce,DEFR INNKPR,,class B felony,public order,,19.48.110,http://app.leg.wa.gov/rcw/default.aspx?cite=19.48.110,,,,,
pierce,DEFR PUB UTILITY,,class B felony,public order,based on first degree,9A.61.030,http://app.leg.wa.gov/rcw/default.aspx?cite=9a.61&full=true,,,,,
pierce,DEFRAUD INNKEEPER,,class B felony,public order,,19.48.110,http://app.leg.wa.gov/rcw/default.aspx?cite=19.48.110,,,,,
pierce,DELIVER FIREARM TO INELIGIBLE PERSON,,class C felony,public order,,9.41.080,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.080,,,,,
pierce,DEST PROP /DV,,gross misdemeanor,public order,"? malicious mischief refers to property damage, but 3 levels",,,,,,,
pierce,DEST PROPERTY,,gross misdemeanor,public order,"? malicious mischief refers to property damage, but 3 levels",,,,,,,
pierce,DESTROY VEH - FL SURR TITLE,,gross misdemeanor,property,,46.12.600,https://app.leg.wa.gov/rcw/default.aspx?cite=46.12.600,,,,,
pierce,DESTRUCTION OF EVIDENCE,,class C felony,public order,,33.36.060,https://app.leg.wa.gov/rcw/default.aspx?cite=33.36.060,,,,,
pierce,DESTRUCTION OF PROP,,gross misdemeanor,public order,"? malicious mischief refers to property damage, but 3 levels",,,,,,,
pierce,DESTRUCTION OF PROPERTY,,gross misdemeanor,public order,"? malicious mischief refers to property damage, but 3 levels",,,,,,,
pierce,Direct Dog to Harass/Attack Pub. Off,,gross misdemeanor,public order,assualt 3?,16.08,http://app.leg.wa.gov/rcw/default.aspx?cite=16.08&full=true,,,,,
pierce,DISARMING P.O.,,class C felony,public order,,9A.76.023,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.023,,,,,
pierce,DISCH FIREARM,,gross misdemeanor,public order,,9.41.230,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.230,,,,,
pierce,DISCH FIRWORK,,gross misdemeanor,public order,,70.77.488,https://app.leg.wa.gov/rcw/default.aspx?cite=70.77.488,,,,,
pierce,DISCHARGE OF FIREARMS PROHIBITED,,gross misdemeanor,public order,,9.41.230,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.230,,,,,
pierce,DISCLOSING INTIMATE IMAGES,,gross misdemeanor,public order,,9A.86.010(1),,,,,,
pierce,DISO PERS,,misdemeanor,public order,,9A.84.030,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.030,,,,,
pierce,DISO PERS/CONDUCT,,misdemeanor,public order,,9A.84.030,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.030,,,,,
pierce,DISORDERLY CONDUCT,,misdemeanor,public order,,9A.84.030,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.030,,,,,
pierce,DISORDERLY CONDUCT(SIP),,misdemeanor,public order,,9A.84.030,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.030,,,,,
pierce,DISPLAY WEAPON,,gross misdemeanor,public order,,9.41.270,http://apps.leg.wa.gov/RCW/default.aspx?cite=9.41.270,,,,,
pierce,DIST PEACE,,misdemeanor,public order,disorderly conduct,9A.84.030,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.84.030,,,,,
pierce,DIST TABACCO W/O LICENSE,,class C felony,public order,,82.26.190,http://app.leg.wa.gov/rcw/default.aspx?cite=82.26.190,,,,,
pierce,DISTRIBUTE CHILD PORN,,class B felony,sex,,9.68A.060,http://app.leg.wa.gov/rcw/default.aspx?cite=9.68a&full=true,,,,,
pierce,DRIVE BY SHOOTING,,class B felony,violent,,9A.36.045,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.36.045,,,,,
pierce,DRIVE W/LIC SUSPENDED/REVOKED,,gross misdemeanor,public order,can by gross misdemeanor,46.20.342,http://app.leg.wa.gov/rcw/default.aspx?cite=46.20.342,,,,,
pierce,DRIVING W/SUSPENDED VEH REGISTRATIO,,gross misdemeanor,public order,,,,,,,,
pierce,DRIVING WITHOUT A LICENSE,,misdemeanor,public order,,,,,,,,
pierce,DRUG LOITERING PROHIBITED,,misdemeanor,public order,Pierce Co citing RCW,http://www.codepublishing.com/WA/PierceCounty/html/PierceCounty09/PierceCounty0920.html#9.20.040,http://www.codepublishing.com/WA/PierceCounty/html/PierceCounty09/PierceCounty0920.html#9.20.040,,,,,
pierce,DRUG PARA,,misdemeanor,drug,,69.50.412,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.412,,,,,
pierce,DUI W/ PRIOR CONVICTION,,class B felony,public order,drug?,46.61.502,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.502,,,,,
pierce,DUI WITH PRIOR CONVICTION,,class B felony,public order,drug?,46.61.502,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.502,,,,,
pierce,DUTY IF INJURY OCCURS - VEH ACC,,class C felony,public order,,46.52.020,https://app.leg.wa.gov/rcw/default.aspx?cite=46.52.020,,,,,
pierce,DUTY IN CASE OF DEATH - VEH ACC,,class B felony,public order,,46.52.020,https://app.leg.wa.gov/rcw/default.aspx?cite=46.52.020,,,,,
pierce,DUTY ON STRIKING PROPERTY,,misdemeanor,public order,,46.52.010,https://app.leg.wa.gov/rcw/default.aspx?cite=46.52.010,,,,,
pierce,DUTY TO OBEY LAW ENFORCEMENT OFC,,misdemeanor,public order,,46.61.022,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.022,,,,,
