jurisdiction,booking_charge_desc,seriousness,category,type,notes,rcw,src,,,,,
pierce,PHONE HARASSMENT,,gross misdemeanor,public order,,9.61.230,http://app.leg.wa.gov/rcw/default.aspx?cite=9.61.230,,,,,
pierce,PHYS CNTRL W/ PRIOR CONVICTION,,class C felony,public order,prior convicitons elevate charge to felony ,http://app.leg.wa.gov/rcw/supdefault.aspx?cite=46.61.504,http://app.leg.wa.gov/rcw/supdefault.aspx?cite=46.61.504,,,,,
pierce,PHYS CONTROL,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/supdefault.aspx?cite=46.61.504,http://app.leg.wa.gov/rcw/supdefault.aspx?cite=46.61.504,,,,,
pierce,PHYS CTRL W/ PRIOR CONVICTION,,class C felony,public order,,http://app.leg.wa.gov/rcw/supdefault.aspx?cite=46.61.504,http://app.leg.wa.gov/rcw/supdefault.aspx?cite=46.61.504,,,,,
pierce,PHYSICAL CNTRL,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/supdefault.aspx?cite=46.61.504,http://app.leg.wa.gov/rcw/supdefault.aspx?cite=46.61.504,,,,,
pierce,POS WPN CAUSE HARM,,class C felony,violent,,9.41.040,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.040,,,,,
pierce,POSS ANOTHER'S ID,,gross misdemeanor,public order,,9A.56.330,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.330,,,,,
pierce,POSS BURG TOOL,,gross misdemeanor,property,,9A.52.060,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.52.060,,,,,
pierce,POSS BURG TOOLS,,gross misdemeanor,property,,9A.52.060,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.52.060,,,,,
pierce,POSS DANG WEAPON,,gross misdemeanor,public order,,9.41.250,http://app.leg.wa.gov/RCW/default.aspx?cite=9.41.250,,,,,
pierce,POSS DANGEROUS WPN,,gross misdemeanor,public order,,9.41.250,http://app.leg.wa.gov/RCW/default.aspx?cite=9.41.250,,,,,
pierce,POSS DEP MIN ENG SEX EXP CONDUCT,,class B felony,sex,,9.68A.070,https://app.leg.wa.gov/rcw/default.aspx?cite=9.68A.070,,,,,
pierce,POSS FICT/ALT LIC,,gross misdemeanor,public order,can be class C felony if done to commit theft or for financial gain ,46.20.0921,https://app.leg.wa.gov/rcw/default.aspx?cite=46.20.0921,,,,,
pierce,POSS INCENDIARY DEV,,class B felony,public order,,9.40.120,https://app.leg.wa.gov/rcw/default.aspx?cite=9.40.120,,,,,
pierce,POSS INJ DEVICE,,misdemeanor,drug,covered under paraphanelia ,69.50.412,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.412,,,,,
pierce,POSS INJECTION DEVICE,,misdemeanor,drug,,69.50.412,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.412,,,,,
pierce,POSS LEG. DRUG/PROHIBITED ACT,,misdemeanor,drug,,69.41.030,http://app.leg.wa.gov/rcw/default.aspx?cite=69.41.030,,,,,
pierce,POSS LEGEND DRUG/INTENT TO SELL,,class B felony,drug,,69.41.030,http://app.leg.wa.gov/rcw/default.aspx?cite=69.41.030,,,,,
pierce,POSS LGND DRUG-NO PRESCRIPTION,,misdemeanor,drug,,69.41.030,http://app.leg.wa.gov/rcw/default.aspx?cite=69.41.030,,,,,
pierce,POSS MARIJUANA - 40 GRAMS OR LESS,,misdemeanor,drug,,69.50.4014,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.4014,,,,,
pierce,POSS OF A STOLEN FIREARM,,class B felony,property,,9A.56.310,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.310,,,,,
pierce,POSS OF EXPLOSIVES W/O LICENSE,,class C felony,public order,,70.74.022,https://app.leg.wa.gov/rcw/default.aspx?cite=70.74.022,,,,,
pierce,POSS PSEUDOEPHEDRINE 15 + GRAMS,,gross misdemeanor,drug,,,,,,,,
pierce,POSS SUSP DRV LIC,,other,public order,,46.20.338,https://app.leg.wa.gov/rcw/default.aspx?cite=46.20.338,,,,,
pierce,POSS UNLAWFUL FIREARM,,class C felony,public order,class of felony depends on 1st or 2nd degree,9.41.040,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.040,,,,,
pierce,POSS WEAP ON SCHOOL PROP,,gross misdemeanor,public order,,9.41.280,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.280,,,,,
pierce,POSS. MOTOR VEHICLE  THEFT TOOLS,,gross misdemeanor,property,,9A.56.063,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.063,,,,,
pierce,POSSESION BY OFFENDERS - F/A AMMO,,unknown,public order,"unlawful but not specified what charge, up to parole officers on how to proceed or file new charge ",9.41.045,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.045,,,,,
pierce,POSSESS CNTRL SUBS-PENALTY,,class C felony,drug,,69.50.4013,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.4013,,,,,
pierce,POSSESS COUNTERFEIT SUBSTANCE,,class C felony,property,,69.50.4011,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.4011,,,,,
pierce,POSSESS DRUG PARAPHERNALIA,,misdemeanor,drug,,69.50.412,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.412,,,,,
pierce,POSSESS EXPLOSIVE/STINK BOMBS,,misdemeanor,public order,"the stink bombs makes a big difference, standard explosives are class A felony ",70.74.310,https://app.leg.wa.gov/rcw/default.aspx?cite=70.74.310,,,,,
pierce,POSSESS FICT/ALTERED LICENSE,,gross misdemeanor,public order,can be class C felony if done to commit theft or for financial gain ,46.20.0921,https://app.leg.wa.gov/rcw/default.aspx?cite=46.20.0921,,,,,
pierce,POSSESS INHALANT,,misdemeanor,drug,,9.47A#9.47A.030,https://app.leg.wa.gov/rcw/default.aspx?cite=9.47A&full=true#9.47A.030,,,,,
pierce,POSSESS PISTOL BY PERS AGE 18 T0 21,,misdemeanor,public order,"unlawful but charge not specified, could be the same as possession of unlawful firearm ",9.41.240,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.240,,,,,
pierce,POSSESS STOLEN VEHICLE,,class B felony,property,,9a.56.068,http://app.leg.wa.gov/RCW/default.aspx?cite=9a.56.068,,,,,
pierce,POSSESSION LOADED FIREARM,,misdemeanor,public order,,9.41.050,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.050,,,,,
pierce,POSSESSION OF DANGEROUS WEAPON,,gross misdemeanor,public order,,9.41.250,http://app.leg.wa.gov/RCW/default.aspx?cite=9.41.250,,,,,
pierce,POSSESSION OF STOLEN MAIL,,class C felony,property,,9A.56.380,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.380,,,,,
pierce,POSSESSION OF UNLAWFUL FIREARMS,,class B/C felony,public order,class of felony depends on 1st or 2nd degree,9.41.040,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.040,,,,,
pierce,POTENTIALLLY DANGEROUS DOG -NOTIFY,,gross misdemeanor,public order, might not be the right crime but it seems like anything related to failure to register potentially dangerous dog is a gross misdemeanor,16.08.100,https://app.leg.wa.gov/rcw/default.aspx?cite=16.08.100,,,,,https://app.leg.wa.gov/rcw/default.aspx?cite=16.08.090
pierce,PRESC FORGERY,,class C felony,public order,,69.50.403,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.403,,,,,
pierce,PRISONER POSS CS,,class C felony,drug,,9.94.041,http://app.leg.wa.gov/rcw/default.aspx?Cite=9.94.041,,,,,
pierce,PROB VIOL (PROST),,other,public order,"seems like it they would be charged with the new crime, whatever it be, and then a parole violation is separate and up to the PO's discretion ",9.94A.737,http://app.leg.wa.gov/rcw/default.aspx?cite=9.94A.737,,,,,
pierce,PROBAT HLD,,other,other,,,,,,,,
pierce,PROM PROST 1,,class B felony,sex,,9A.88.070,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.88.070,,,,,
pierce,PROM PROST 2,,class C felony,sex,,9A.88.080,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.88.080,,,,,
pierce,PROMOTING SEXUAL ABUSE OF A MINOR,,class A felony,sex,"RCW charge includes word ""commerical"" that is absent in the listed charge ",9.68A.101,https://app.leg.wa.gov/rcw/default.aspx?cite=9.68A.101,,,,,
pierce,PROST,,misdemeanor,sex,,9A.88.030,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.88.030,,,,,
pierce,PROSTITUTION,,misdemeanor,sex,,9A.88.030,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.88.030,,,,,
pierce,PROVIDE FALSE PROOF OF INSURANCE,,misdemeanor,public order,,46.30.040,https://app.leg.wa.gov/rcw/default.aspx?cite=46.30.040,,,,,
pierce,PSP,,gross misdemeanor/class B felony,property,see PSP charges above,,,,,,,
pierce,PSP 1,,class B felony,property,PSP=possession stolen property ,9A.56.150,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.150,,,,,
pierce,PSP 2,,class C felony,property,,9A.56.160,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.160,,,,,
pierce,PSP 3,,gross misdemeanor,property,,9A.56.170,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.170,,,,,
pierce,PUB DIST-BLDG/APARTMENT,,misdemeanor,public order,,,,,,,,
pierce,PUB DIST-VEH SND SYS,,misdemeanor,public order,,,,,,,,
pierce,PUB DIST/NOISE,,misdemeanor,public order,,,,,,,,
pierce,PUB INDECENCY,,misdemeanor,sex,,9A.88.010,,,,,,
pierce,PUB NUIS,,misdemeanor,public order,,,,,,,,
pierce,PUBLIC DISTURBANCE,,gross misdemeanor,public order,"actually a number of other specific crimes that range in severity, see source ",9A.84,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84&full=true,,,,,
pierce,RACING,,gross misdemeanor,public order,considered reckless driving,46.61.530,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.530,,,,,http://app.leg.wa.gov/RCW/default.aspx?cite=46.61.500
pierce,RAPE 1,,class A felony,sex,,9A.44.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.44.040,,,,,
pierce,RAPE 2,,class A felony,sex,,9A.44.050,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.44.050,,,,,
pierce,RAPE 3,,class C felony,sex,,9A.44.060,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.44.060,,,,,
pierce,REC/POSSESS STOLEN PROP,,class B felony,property,,9A.56.150,,,,,,
pierce,RECK BURN 1,,class C felony,property,,9A.48.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.48.040,,,,,
pierce,RECK BURN 2,,gross misdemeanor,property,,9A.48.050,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.48.050,,,,,
pierce,RECK DRV,,gross misdemeanor,public order,,46.61.500,http://app.leg.wa.gov/RCW/default.aspx?cite=46.61.500,,,,,
pierce,RECK ENDAN /DV,,gross misdemeanor,public order,,9a.36.050,http://app.leg.wa.gov/RCW/default.aspx?cite=9a.36.050,,,,,
pierce,RECK ENDANG /DV,,gross misdemeanor,public order,,9a.36.050,http://app.leg.wa.gov/RCW/default.aspx?cite=9a.36.050,,,,,
pierce,RECK ENDANGER,,gross misdemeanor,public order,,9a.36.050,http://app.leg.wa.gov/RCW/default.aspx?cite=9a.36.050,,,,,
pierce,RECK ENDANGERMENT,,gross misdemeanor,public order,,9a.36.050,http://app.leg.wa.gov/RCW/default.aspx?cite=9a.36.050,,,,,
pierce,RECK. ENDANG / DV,,gross misdemeanor,public order,,9a.36.050,http://app.leg.wa.gov/RCW/default.aspx?cite=9a.36.050,,,,,
pierce,RECKLES ENDANGER OF HI-WAY WORKER,,gross misdemeanor,public order,don't know why they needed a new crime just for these ,46.61.527,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.527,,,,,
pierce,Reckless Burning,,class C felony,property,,9A.48.050,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.48.050,,,,,
pierce,RECKLESS BURNING  2 ND DEGREE,,gross misdemeanor,property,,9A.48.050,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.48.050,,,,,
pierce,RECKLESS BURNING 2ND DEGREE,,gross misdemeanor,property,,9A.48.050,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.48.050,,,,,
pierce,RECKLESS BURNING- 2,,gross misdemeanor,property,,9A.48.050,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.48.050,,,,,
pierce,RECKLESS ENDANGERMENT,,gross misdemeanor,public order,,9a.36.050,http://app.leg.wa.gov/RCW/default.aspx?cite=9a.36.050,,,,,
pierce,RECREATIONAL FISHING 1ST DEGREEE,,gross misdemeanor,public order,,77.15.370,http://app.leg.wa.gov/RCW/default.aspx?Cite=77.15.370,,,,,
pierce,RECREATIONAL FISHING 2ND DEGREE,,gross misdemeanor,public order,,77.15.380,https://app.leg.wa.gov/rcw/default.aspx?cite=77.15.380,,,,,
pierce,REFUSE INFO,,misdemeanor,public order,,46.61.020,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.020,,,,,
pierce,REFUSE TO GIVE INFO/COOPERATE W/0,,misdemeanor,public order,,46.61.020,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.020,,,,,
pierce,REND CRIM ASSIST 2,,misdemeanor,public order,,9A.76.080,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.080,,,,,
pierce,REND CRIM ASSIST 3,,misdemeanor,public order,,9A.76.090,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.090,,,,,
pierce,REND CRIM ASST 1,,class B felony,public order,,9A.76.070,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.070,,,,,
pierce,RES BURGLARY,,class B felony,property,,9A.52.025,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.52.025,,,,,
pierce,RESIS ARR,,misdemeanor,public order,,9A.76.040,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.76.040,,,,,
pierce,RESIST ARR,,misdemeanor,public order,,9A.76.040,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.76.040,,,,,
pierce,RESIST ARR /DV,,misdemeanor,public order,,9A.76.040,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.76.040,,,,,
pierce,RESTRICTED/OCCUPATIONAL DR LIC,,gross misdemeanor,public order,,46.20.342,,,,,,
pierce,RETAIL THFT W/EXT CIRCUMSTANCES 1,,class B felony,property,,9A.56.360,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.360,,,,,
pierce,RETAIL THFT W/EXT CIRCUMSTANCES 2,,class C felony,property,,9A.56.360,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.360,,,,,
pierce,RETAIL THFT W/EXT CIRCUMSTANCES 3,,class C felony,property,,9A.56.360,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.360,,,,,
pierce,RIOT-ARMED,,class C felony,violent,"I think it would be considered criminal mischief with deadly weapon, no rcw for rioting renders a charge ",9A.84.010,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.010,,,,,
pierce,ROBBERY 1,,class A felony,violent,categorized as violent due to robbery's requirement of force and intimidation,9A.56.200,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.200,,,,,
pierce,ROBBERY 2,,class B felony,violent,,9A.56.210,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.210,,,,,
pierce,SELLING MTV. W/TURNED BACK ODOM,,misdemeanor,public order,considered unlawful but charge not specified ,46.37.550,http://apps.leg.wa.gov/RCW/default.aspx?cite=46.37.550,,,,,
pierce,SEX EXPLICIT MAT DISPLAY,,misdemeanor,public order,,9.68.130,,,,,,
pierce,SEX EXPLOIT MINOR,,class B felony,sex,,9.68A.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9.68A.040,,,,,
pierce,SEX OFFENDER / NON FELON FAIL REG.,,gross misdemeanor,public order,,9A.44.132,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.44.132,,,,,
pierce,SEX VIOL PRED,,other,other,"I think this is a label on an inmate, Sexually Violent Predator, not a charge ",http://app.leg.wa.gov/rcw/supdefault.aspx?cite=71.09,http://app.leg.wa.gov/rcw/supdefault.aspx?cite=71.09&full=true,,,,,
pierce,SEX/KIDNAP OFFNDR FAIL TO REGISTER,,class C felony,public order,,9A.44.132,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.44.132,,,,,
pierce,SEXUAL ASSAULT,,unknown,sex,doesn't appear to be a charge in WA called sexual assault ,9a.44,http://app.leg.wa.gov/rcw/default.aspx?cite=9a.44,,,,,
pierce,SEXUAL MISC W/A MINOR 2,,gross misdemeanor,sex,,9A.44.096,,,,,,
pierce,SODA VIOL,,gross misdemeanor,drug,"Marysville statute, SODA=Stay Out of Drugs Area ",http://www.codepublishing.com/WA/Marysville/html/Marysville06/Marysville0628.html,http://www.codepublishing.com/WA/Marysville/html/Marysville06/Marysville0628.html,,,,,
pierce,SOL OCCUPANT OF VEH PUB ROAD,,misdemeanor,public order,unlawful but no charge specified,46.61.255,http://app.leg.wa.gov/RCW/default.aspx?cite=46.61.255,,,,,
pierce,SOL OCCUPANTS OF VEH PUB ROAD,,misdemeanor,public order,unlawful but no charge specified,46.61.255,http://app.leg.wa.gov/RCW/default.aspx?cite=46.61.255,,,,,
pierce,SOL PROST,,misdemeanor,public order,,9A.88.110,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.88.110,,,,,
pierce,SOLICIT DEL CONTR SUB,,class C felony,drug,,69.50.4015,,,,,,
pierce,SOLICITATION PROHIBITED AREAS/LOCATIO,,misdemeanor,public order,,,,,,,,
pierce,STALKING,,gross misdemeanor,public order,,9A.46.110,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.46.110,,,,,
pierce,STATUTORY RAPE 3,,unknown,sex,"doesn't seem to be a stat rape 3 charge in WA, though there are ones relating to sexual misconduct with minors ",,,,,,,
pierce,SUPP LIQ MINOR,,gross misdemeanor,public order,,66.44.270,http://apps.leg.wa.gov/rcw/default.aspx?cite=66.44.270,,,,,
pierce,SUSPENDED VEHICLE REGISTRATION,,civil infraction,public order,,46.16A.030,http://app.leg.wa.gov/rcw/default.aspx?cite=46.16A.030,,,,,
pierce,SWITCHED LICENSE PLATES,,civil infraction,public order,"its a traffic violation to display improper liscense plates, and considered unlawful to switch plates but I can't find any charges ",46.16A.200,http://app.leg.wa.gov/rcw/default.aspx?cite=46.16A.200,,,,,
pierce,TAMP WITNESS,,class C felony,public order,,9A.72.120,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.72.120,,,,,
pierce,TAMPER WITH FIRE ALARM (F),,misdemeanor,property,,9.40.100,https://app.leg.wa.gov/rcw/default.aspx?cite=9.40.100,,,,,
pierce,TAMPERING W/ IGN. INTERLOCK DEVICE,,gross misdemeanor,public order,,46.20.750,http://app.leg.wa.gov/rcw/default.aspx?cite=46.20.750,,,,,
pierce,TAMPERING W/PHYSICAL EVIDENCE,,gross misdemeanor,public order,,9A.72.150,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.72.150,,,,,
pierce,TAMPERING WITH FIRE ALARM,,misdemeanor,property,,9.40.100,https://app.leg.wa.gov/rcw/default.aspx?cite=9.40.100,,,,,
pierce,TELEPHONE HARASSMENT,,gross misdemeanor,public order,,9.61.230,http://app.leg.wa.gov/rcw/default.aspx?cite=9.61.230,,,,,
pierce,THEFT 1,,class B felony,property,,9a.56.030,http://app.leg.wa.gov/rcw/default.aspx?cite=9a.56.030,,,,,
pierce,THEFT 2,,class C felony,property,,9A.56.040.1A,http://app.leg.wa.gov/RCW/default.aspx?cite=9A.56.040.1A,,,,,
pierce,THEFT 3,,gross misdemeanor,property,,9A.56.050,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.56.050,,,,,
pierce,THEFT 3  /DV,,gross misdemeanor,property,,9A.56.050,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.56.050,,,,,
pierce,THEFT 3RD,,gross misdemeanor,property,,9A.56.050,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.56.050,,,,,
pierce,THEFT FROM VULNERABLE ADULT 1,,class B felony,property,,9A.56.400,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.400,,,,,
pierce,THEFT LIVESTCK,,class B/C felony,property,felony class depends on charge,9A.56.080,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.080,,,,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.083
pierce,THEFT MTR VEH FUEL,,gross misdemeanor ,property,,46.61.740,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.740,,,,,
pierce,THEFT OF MV,,class B felony,property,,9A.56.065,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.065,,,,,
pierce,THEFT RENTAL PROP <750,,gross misdemeanor,property,can increase in charge severtiy with value of property increasing ,9A.56.096,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.56.096,,,,,
pierce,THEFT W/INTENT RESELL 1,,class B felony,property,,9A.56.340,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.340,,,,,
pierce,THEFT W/INTENT RESELL 2,,class C felony,property,,9A.56.340,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.340,,,,,
pierce,THEFT W/INTENT TO RESELL 3,,class C felony,property,RCW only specifies 1st and 2nd degree,9A.56.340,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.340,,,,,
pierce,THFT OF FIREARM (B),,class B felony,property,,9A.56.300,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.300,,,,,
pierce,THFT RENT/LEAS PROP,,gross misdemeanor,property,can increase in charge severtiy with value of property increasing ,9A.56.096,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.56.096,,,,,
pierce,THREAT BODILY INJ/DV,,gross misdemeanor,violent ,considered harrassment,9a.46.020,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
pierce,THREAT TO BOMB OR INJURE PROPERTY,,class B felony,property,,9.61.160,http://app.leg.wa.gov/rcw/default.aspx?cite=9.61.160,,,,,
pierce,THREATENED BODILY INJURY-NON DV,,gross misdemeanor,violent ,considered harrassment,9a.46.020,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
pierce,THREATENED PROPERTY DAMAGE DV,,gross misdemeanor,violent ,considered harrassment,9a.46.020,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
pierce,THREATS TO DO HARM,,gross misdemeanor,violent ,considered harrassment,9a.46.020,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
pierce,THREATS TO HARM-DV,,gross misdemeanor,violent ,considered harrassment,9a.46.020,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
pierce,TMVWOP 1,,class B felony,property,TMWWOP=Taking Motor Vehicle WithOut Permission,9A.56.070,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.070,,,,,
pierce,TMVWOP 2,,class C felony,property,,9A.56.075,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.075,,,,,
pierce,TRAFFICKING STOL PROP 1,,class B felony,property,,9A.82.050,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.82.050,,,,,
pierce,TRAFFICKING STOL PROP 2,,class C felony,property,,9A.82.055,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.82.055,,,,,
pierce,TRANS-CONS/INTOX,,misdemeanor,drug,I think this is consuming intoxicants on transit but am unsure ,9.91#9.91.025,http://app.leg.wa.gov/rcw/default.aspx?cite=9.91&full=true#9.91.025,,,,,
pierce,TRANSIT-SMOKING,,misdemeanor,public order,,9.91#9.91.025,http://app.leg.wa.gov/rcw/default.aspx?cite=9.91&full=true#9.91.025,,,,,
pierce,TRESP PUB,,misdemeanor,public order,trespassing public is not a charge in RCW,,,,,,,
pierce,TRESPASS 2,,misdemeanor,property,,9A.52.080,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.52.080,,,,,
pierce,UIBC,,gross misdemeanor/class C felony,property,charge severity depends on amount check is worth UIBC=unlawful issuance of bank check ,9A.56.060,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.060,,,,,
pierce,UICD,,unknown,other,,,,,,,,
pierce,UMCS,,class C felony,drug,UMCS=unlawful manufacturing of controlled substance,69.50.401,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401,,,,,
pierce,UNL ACT - DRUG,,unknown,other,,,,,,,,
pierce,UNL POS AMM W/I MAN METH,,class C felony,drug,"Unlawful Possession of Ammonia with inention of manufacturing meth, I assume this is also covered by unlawful manufacture but I am unsure ",69.50.401,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401,,,,,
pierce,UNL POS EPH W/I MAN METH,,class B felony,drug,,69.50.440,http://app.leg.wa.gov/RCW/default.aspx?cite=69.50.440,,,,,
pierce,UNL POS ID CARD,,class C felony,public order,,9A.56.320,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.320,,,,,
pierce,UNL POSS FICT ID,,class C felony,public order,,9A.56.320,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.320,,,,,
pierce,UNL POSS FIREARM 1,,class B felony,public order,,9.41.040,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.040,,,,,
pierce,UNL POSS FIREARM 2,,class C felony,public order,,9.41.040,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.040,,,,,
pierce,UNL PROD PAYMENT INSTR,,class C felony,public order,unlawful production of payment instructions returns no results ,,,,,,,
pierce,UNL SOL TO POSS CONT SUB,,class C felony,public order,solicitation not mentioned in controlled substances act ,69.50.401,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401,,,,,
pierce,UNL TRANSIT COND,,misdemeanor,public order,,9.91.025,http://app.leg.wa.gov/rcw/default.aspx?cite=9.91.025,,,,,
pierce,UNL USE FIREARM BY MINOR,,unknown,public order,unlawful possession specified but not unlawful use ,,,,,,,
pierce,UNL. HARBORING RUNAWAY,,gross misdemeanor,public order,,13.32A.080,,,,,,
pierce,UNLAW DEL CS,,class C felony,drug ,,69.50.401,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401,,,,,
pierce,UNLAW DEL SUBS IN LIEU OF CNTRL SUBS,,class C felony,drug ,,69.50.4012,,,,,,
pierce,UNLAW IMPRISON,,class C felony,violent,,9A.40.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.40.040,,,,,
pierce,UNLAW POS PAY INSTR,,class C felony,public order,,9A.56.320,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.320,,,,,
pierce,UNLAW POSS PERSONAL IDENT DEVICE,,class C felony,public order,,9A.56.320,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.320,,,,,
pierce,UNLAW SALE CS,,class C felony,drug ,,69.50.401,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401,,,,,
pierce,UNLAWFUL BUS CONDUCT,,misdemeanor,public order,,9.91.025,http://app.leg.wa.gov/rcw/default.aspx?cite=9.91.025,,,,,
pierce,Unlawful Camping,,civil infraction,public order,,http://apps.leg.wa.gov/wac/default.aspx?cite=352-32-030,http://apps.leg.wa.gov/wac/default.aspx?cite=352-32-030,,,,,
pierce,UNLAWFUL FIREARMS/PARTS CONTRABAN,,misdemeanor,public order,,,,,,,,
pierce,UNLAWFUL INHALATION,,misdemeanor,drug ,,9.47A.050,http://app.leg.wa.gov/RCW/default.aspx?cite=9.47A.050,,,,,
pierce,"UNLAWFUL MAN,  SALE/OFFER SELL EXPLO",,class C felony,public order,,70.74.022,https://app.leg.wa.gov/rcw/default.aspx?cite=70.74.022,,,,,
pierce,"UNLAWFUL MAN, SALE/OFFER SELL EXPLO",,class C felony,public order,,70.74.022,https://app.leg.wa.gov/rcw/default.aspx?cite=70.74.022,,,,,
pierce,UNLAWFUL TRAFFICKING WILDLIFE 2ND,,class C felony,public order,,77.15.260,,,,,,
