,jurisdiction,booking_charge_desc,charge_count,seriousness,category,type,magda notes,notes,rcw,src
1337,pierce,SEX OFFENDER / NON FELON FAIL REG.,40,,gross misdemeanor,public order,,,9A.44.132,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.44.132
1369,pierce,SOL PROST,40,,misdemeanor,public order,,,9A.88.110,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.88.110
470,pierce,DUTY ON STRIKING PROPERTY,39,,misdemeanor,public order,,,46.52.010,https://app.leg.wa.gov/rcw/default.aspx?cite=46.52.010
1167,pierce,PROM PROST 2,39,,class C felony,sex,,,9A.88.080,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.88.080
136,pierce,AUTO THFT TOOLS,38,,gross misdemeanor,property,,,9A.56.063,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.063
562,pierce,FAILURE TO HAVE IGNITION INTERLOCK,38,,gross misdemeanor,public order,,,46.20.740,http://app.leg.wa.gov/rcw/default.aspx?cite=46.20.740
868,pierce,MAIL THEFT,38,,class C felony,property,,,9A.56.370,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.370
957,pierce,MURDER 2,38,,class A felony,violent,,,9A.32.050,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.32.050
52,pierce,ASLT CHILD 2ND,37,,class B felony,violent,,,9A.36.130,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.36.130
607,pierce,FIGHT IN PUB,37,,misdemeanor,violent,,assume its covered under misdemeanor disorderly conduct but unclear,9A.84.030,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.030
772,pierce,IND COND EXPOS,36,,misdemeanor,sex,,,9A.88.010,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.88.010
806,pierce,INTIM WEAPON,35,,gross misdemeanor,violent,,,9.41.280,http://apps.leg.wa.gov/RCW/default.aspx?cite=9.41.280
775,pierce,IND LIB,34,,class B felony,sex,,,9a.44.100,http://app.leg.wa.gov/rcw/default.aspx?cite=9a.44.100
848,pierce,LEGEND DRUG- POSS NO PRESC,34,,misdemeanor,drug,,,69.41.030,http://app.leg.wa.gov/rcw/default.aspx?cite=69.41.030
876,pierce,MAL HARASSMENT,34,,class C felony,violent ,,,9a.36.080,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.36.080
1745,pierce,WEAPONS-UNL CARRY/SELL,34,,unknown,public order,,no charge found ,9.41.040,http://app.leg.wa.gov/RCW/default.aspx?cite=9.41.040
