release_disposition_desc,jurisdiction_cd
Time Payments,PD1
Time Payments,DOC
Time Payments,TACM
"Time Served, Weekend",SUP
Time Served,TACM
Time Served,PD1
Time Served,SUMM
Time Served,DOC
Time Served,KINS
Time Served,SUP
Time Served,LKM
Time Served,RUSM
Time Served,UPM
Time Served,GIGM
Time Served,FIFM
Time Served,ORTM
Time Served,KSPS
Time Served,JRA
Time Served,EGM
Time Served,MILM
Time Served,EATM
Time Served,BONM
Time Served,PUYM
US Marshall,FED
US Marshall,SUP
US Marshall,DOC
US Marshall,IMM
US Marshall,OTHR
WSI Chain,SUP
WSI Chain,RENM
WSI Chain,DOC
WSI Chain,KING
WSI Chain,PD1
WSI Chain,IMM
WSI Chain,FED
WSI Chain,TACM
WSI Chain,KINS
WSI Chain,POM
WSI Chain,KSPS
WSI Chain,JRA
WSI Chain,THSC
WSI Chain,SNOS
WSI Chain,UPM
WSI Chain,OTHR
WSI Chain,GHSC
WSI Chain,LKM
WSI Chain,S02
WSI Chain,FRNS
WSI Chain,JFFS
WSI Chain,LEWS
WSI Chain,KTTS
WSI Chain,MASS
WSI Chain,KENM
WSI Chain,JDKC
WSI Chain,BUCM
WSI Chain,JUV
WSI Chain,PUYM
Western State Hospital,SUP
Western State Hospital,OTHR
Western State Hospital,DOC
Western State Hospital,PD1
Western State Hospital,KING
