booking_charge_desc,booking_charge_txt
MASSAGE LICENSING VIOLATION,
RECK BURN 2,
DISCH FIREARM,
COMM CUSTODY JAIL,UPSC ATTEMPT
OPER VEH W/O VAL CERT OF OWNER,
PROBAT HLD,RES BURG/PSP 2
ASLT 2,ATTEMPTED
COMM CUSTODY JAIL,TRAFFICICING SP
COMM CUSTODY JAIL,IDENT THEFT 1
POSS DANG WEAPON,USE FIREARM MINOR
FINANCIAL FRAUD-UNL POSS PROD/INST,DV
THEFT 3,DV
PUBLIC DISTURBANCE,YELLING
MINOR OPER VEH AFTER ALCOHOL CONS,
NVOL WITHOUT ID,
VIOL N/C ORDER,SEXUAL ASSAULT
COMM CUSTODY JAIL,FAIL TO REGISTER AS
UNL POS AMM W/I MAN METH,
ENDANG W/CONTR SUB,
CRIMINAL SOLICITATION,BBS
UPCS,BBS
ANTI-HARAS /DV,
COMM MINOR IMM,
RAPE 3,
MURDER 2,
PROBAT HLD,VIOL NC ORD/ASLT 4
PHONE HARAS /DV,
DISORDERLY CONDUCT(SIP),
DWLS/DWLR,BBS
ARSON 1,
MAL MISCH 2,ATTEMPT
COMM CUSTODY JAIL,ASLT 2/ROB 1
FUGITIVE,UPCS/UDCS
FELONY STALKING,
UNL POSS FICT ID,
FUGITIVE,SEX PENT W/FORCE
PHYS CONTROL,
FUGITIVE,TRAFFICK CON SUB
POSSESS CNTRL SUBS-PENALTY,NO PRESCRIPTION
COMM CUSTODY JAIL,RES BURG/THEFT 2ND
IDENT THFT 2,DRUC COURT
THEFT 2,DRUG COURT
PSP 2,DRUG COURT
RAPE 2,DV
POSS DANG WEAPON,BRASS KNUCKLES
UNL USE FIREARM BY MINOR,
HOLD REMANN HALL,ASLT 2
DISCHARGE OF FIREARMS PROHIBITED,
PROM PROST 2,
FAIL REGIS S/O,BBS
DWLS/R 1ST/2ND,2ND DEGREE
DISO PERS/CONDUCT,DV
HOLD - ORDER OF RETRN,
DISORDERLY CONDUCT,FIGHTING
MALICIOUS HARASSMENT,
OBSTR PO,DRUG COURT
UU BLDG DRUGS,DRUG COURT
COMM CUSTODY JAIL,POSS STOLEN VEH
KIDNAPPING 1,
PROBAT HLD,DOSA REVOKE
FALSE REPORT OF CRIME,
PROBAT HLD,FTA REVIEW HEARING
ESCAPE 1,ATTEMPT
HARASS  /DV,THREATEN BODILY INJ
COMM CUSTODY JAIL,UPFA 2
DWLS/DWLR,1ST DEGREE
CHILD MOLEST 3,
RECREATIONAL FISHING 2ND DEGREE,
DISARMING P.O.,ATTEMPTED
INDECENT EXPOSURE,
MINOR POSS LIQ,ATT
CRIM TRSP 1 /DV,
THEFT RENTAL PROP <750,
CYBERSTALKING,
FALSE STATEMENT TO PUB SERVANT,DRUG COURT
COMM CUSTODY JAIL,FAIL TO REG AS FEL SO
RETAIL THFT W/EXT CIRCUMSTANCES 1,
FUGITIVE,BURGLARY
RES BURGLARY,ATTEMPTED
UPCS,HEROIN & METH
COMM CUSTODY JAIL,ROB 2
COMM CUSTODY JAIL,ASLT 2
UNLAW DEL CS,DRUG CT
CHILD RAPE 2,
FEL PUR/ELUDE,ATTEMPTED
UNL ACT - DRUG,
COMM CUSTODY JAIL,VUCSA
STALKING,D/V
HOLD US MARSHAL,PROB VIOL
BRIBERY,
POSSESSION OF STOLEN MAIL,
VEHICLE OPR-REFUSE COMPLY POLICE,
INTIM WPN /DV,
COM. W/MINOR FOR IMMORAL PURPOSE,
THEFT 3,ATTEMPTED
INTIM PUB SER,
PROBAT HLD,HARRASSMENT
PUBLIC DISTURBANCE,
FUGITIVE,UPCS/THEFT
CONTEMPT OF COURT,
COMM CUSTODY JAIL,ALSO# 131049912
PROBAT HLD,UPCS//BBS
COMM CUSTODY JAIL,RES BURG/UPCS
HOLD COMM CUSTODY,
COMM CUSTODY JAIL,VIOL PROT ORD
MAL MISCH 2 / DV,DV
ALCOHL IN PARK,
UPCS,ATTEMPTED
COMM CUSTODY JAIL,ASLT 3/PSP
POSSESSION OF UNLAWFUL FIREARMS,
COMM CUSTODY JAIL,UPCS W/ INTENT
POSS DEP MIN ENG SEX EXP CONDUCT,2ND
TRANS-CONS/INTOX,
UPCS,FTA TRIAL
MAKING/POSS OF AUTO THEFT TOOLS,
COMM CUSTODY JAIL,ASSLT 3
BURGLARY 1,ATTEMPTED
LOADED PISTOL IN VEH.,NO PERMIT
COMM CUSTODY JAIL,ROBBERY 1
IDENT THFT 1,DV
DWLS/R 1ST/2ND,1ST
WEAPONS-SELL/MAKE/BUY/POSSESS,
TRAFFICKING STOL PROP 1,CONSPIRACY
BURGLARY 1,CONSPIRACY
CRIM TRESP 2,2ND
PROBAT HLD,ASLT 4
DUTY TO OBEY LAW ENFORCEMENT OFC,
PROBAT HLD,THEFT 3RD
AIM/DISCHARGE FIREARM,DV
COMM CUSTODY JAIL,MTR VEH THEFT
UPCS,DRG CRT
UPCS W INTENT,DRG CRT
SEX OFFENDER / NON FELON FAIL REG.,
MINOR POSS LIQ,BUY/SELL/POSSESS
PROBAT HLD,UPF 2ND/PHYS CONTR
TELEPHONE HARASSMENT,
COMM CUSTODY JAIL,VPO
INTIM PUB SERV,THREATS
RAPE 1,
UNLAWFUL BUS CONDUCT,
LURING,
CHILD MOLEST 1,ATT
UNLAW DEL CS,TO MINOR
FURNISH ALCOHOL TO A MINOR,
PHONE HARASS -NON DV,
DWLS/DWLR,1ST
PROBAT HLD,"TMVWP 2, ELUDING"
COMM CUSTODY JAIL,UPCS X2
IND LIB,
FEL HARASS (NON DV),DIRECT THREAT
DWI,DRUG COURT
RECK ENDANGER,DRUG COURT
TRAFFICKING STOL PROP 1,DRUG COURT
PROBAT HLD,TRESS/THEFT
FAILURE TO OBEY POLICE,
MAL MISCH,
CRIM TRESP,2
COMM CUSTODY JAIL,ASSAULT 2ND
PROVIDE FALSE PROOF OF INSURANCE,
COMM CUSTODY JAIL,ARSON 2
RECK ENDANG /DV,
COMM CUSTODY JAIL,KIDNAP 2
THEFT OF MV,ATTEMPT
MINOR IN POSSESSION IN PUBLIC,
FEL VEHICLE PROWL,
ENTRY ERROR,3RD
COMM CUSTODY JAIL,DRUGS.POSSES/MANU
HOLD REMANN HALL,"EXTORTION,MM3X2"
COMM CUSTODY JAIL,CHILD RAPE 1 X 2
MINOR OP VEH/ALC CONS,
CRIMINAL ASLT,4TH
SUPP LIQ MINOR,
UPCS,VUCSA
BURGLARY 2,ATTEMPTED
COMM CUSTODY JAIL,VIO PRO ORD
PROBAT HLD,FORGERY X 4
UPCS,METHAMPHETAMINE
THEFT 1,WF
PROBAT HLD,ASLT 4/RESISTING
ARSON 2,
ARSON 2,ATTEMPTED
COMM CUSTODY JAIL,ROBB 2
UPCS,DRUYG COURT
ROBBERY 2,ATTEMPTED
CRIM IMPERSON 2,
ANIMALS INJURING HUMANS OR DOMESTIC,
UUW,
PSP,
COMM CUSTODY JAIL,"TMVWOP, UPCS"
UPCS,CRACK
UNLAW DEL CS,BBS
MAL MISCH,3RD
COMM CUSTODY JAIL,PRO ORD VIOL
UNLAW SALE CS,
ASLT CHILD 2ND,DV
PHYS CTRL W/ PRIOR CONVICTION,
COMM CUSTODY JAIL,IDENTITY THEFT 2
POSSESS STOLEN VEHICLE,DRUG COURT
DRUG PARA,DRUG COURT
FUGITIVE,NON-SUPPORT
STALKING,ATTEMPTED
MAL MISCH 1,DV
COERCION,
UNL POSS FIREARM 2,DV
THEFT OF MV,DV
BURGLARY 1,DV
COMM CUSTODY JAIL,RTL THFT W/SPC CIR 3
COMM CUSTODY JAIL,ATT MAN DEL POSS IN
BAIL JUMPING,
FUGITIVE,BURG 1 FEL BATTERY
UPCS,NO PRESCRIPTION
POSSESS STOLEN VEHICLE,FTA TRIAL READINESS
POSS INCENDIARY DEV,
FUGITIVE,RETAIL THEFT
FAIL TRANS TITLE W/I 45 DYS,
PHYSICAL CNTRL,BBS
FALSE IDENTIFICAITON,
INCEST 1,
INCEST 2,
NVOL W/O ID,
DWLS/R 1ST/2ND,2ND
DWLS/DWLR,3RD DEG
DISARMING P.O.,
COMM CUSTODY JAIL,ASLT 3 X2
UPCS,OXY PILLS
ABANDONMNT 3,
VIO PROT OR /DV,POST SENTENCE
MONEY LAUNDERING,
PROBAT HLD,USPCS
VIOL PROT ORD - NON DV,
HAB OFFENDER,
CONSP COM MURDER,1ST
ROBBERY 1,ATTEMPTED
INTRO CONTRA 2,
THEFT 1,ATTEMPTED
PROBAT HLD,UPCS UNLAW SOLICIT
LEAVE CHLD UNATT/CAR,
ILL DRUG CONDUCT,
"UNLAWFUL MAN, SALE/OFFER SELL EXPLO",
THREATENED BODILY INJURY-NON DV,
COMM CUSTODY JAIL,UPCS - HEROIN
UNL POSS FIREARM 1,DRUG COURT
UNL POSS FIREARM 2,DRUG COURT
POSS OF A STOLEN FIREARM,DRUG COURT
COMM CUSTODY JAIL,`
FUGITIVE,FALSE ID
ROBBERY 2,DV
DISCLOSING INTIMATE IMAGES,DV
DELIVER FIREARM TO INELIGIBLE PERSON,
UPCS W INTENT,VUCSA
PROBAT HLD,UNL SOL PCS
COMM CUSTODY JAIL,ID THEFT 2/FORGERY
FUGITIVE,ASLT 4/RECK DRIVING
COMM CUSTODY JAIL,ATT-UPCS
COMM CUSTODY JAIL,PCS
SWITCHED LICENSE PLATES,
COMM CUSTODY JAIL,ASLT 3RD
VEH PROWL,1ST
PROBAT HLD,TMVWOP 2
ENTRY ERROR,BURG
FELONY DUI,PRIOR VEH ASLT
COMM CUSTODY JAIL,ASLT 3/UPCS
DISORDERLY CONDUCT,PUBLIC DISTERBANCE
THEFT 3,CRIMINAL ATTEMPT
VEHICLE PROWLING 2ND DEGREE,
FUGITIVE,PRO VIOL
MAL MISC 3 /DV,INTERFER 911
THEFT 1,WELFARE FRAUD
ASLT 1,ON LE
COMM CUSTODY JAIL,UPCS - METH
HOLD FBI,
CRIM TRESP 1,`
COMM CUSTODY JAIL,BURG 2/UPCS
NEG DRIVING,1ST
PROBAT HLD,CUSTODIAL ASLT
CRIM TRESP,2ND DEGREE
THEFT OF MV,DRUG COURT
UNLAW IMPRISON,D/V
COMM CUSTODY JAIL,ASLT 3 LAW ENFORCE
THREATS TO DO HARM,
ATT MURDER 1,
CRIM CONSPIRACY,
COURT ORDER VIOLATION,
MAL MISCH 3,DV
ILLEGALLY OBTAIN DISABLED PLACARD,
COMM CUSTODY JAIL,ESCAPE
MAL MISCH 2,DV
COMM CUSTODY JAIL,IDENT THEFT 2
PRISONER POSS CS,
PROBAT HLD,ASLT 3
DRIVE BY SHOOTING,DV
UPCS,PILLS
COMM CUSTODY JAIL,PROT ORDER VIOL
CONSUMER FRAUD TARGETING SENIORS,
DEAL DEP MIN ENG SEX EXP CONDUCT,
FALSE IDENTIFICATION,POSS OF ANOTHERS ID
COMM CUSTODY JAIL,UDCS
CRIMINAL CONSPIRACY,
COMM CUSTODY JAIL,RES BURG
JUVENILE PAROLE HLD,RAPE OF A CHILD 2
COMM CUSTODY JAIL,INDECENT EXPOSURE
FUGITIVE,SEX ABUSE/CHILD 2
POSS LEGEND DRUG/INTENT TO SELL,
COMM CUSTODY JAIL,PROB VIOL
HARASSMENT-THREATEN BODILY INJURY,
PROBAT HLD,SOSSA
DISPLAY WEAPON,DV
COMM CUSTODY JAIL,ROBERY 2
CONTRIB DELIQUENCY MINOR,
BURGLARY 2,ATTEMPT
CRIM ASLT /DV,4TH DEGREE
POSS FICT/ALT LIC,
POSSESION BY OFFENDERS - F/A AMMO,FIREARM
COMM CUSTODY JAIL,VIO DV CRT ORD
VIOL PROT ORD,STALKING
IMPERSONATE P/O,
LURING,CHILD
ROBBERY 2,`
AGGRESIVE BEGGING,
MORTGAGE FRAUD,
VEH PROWL,2ND/ATTEMPTED
FUGITIVE,BURG
FELONY DUI,W/PRIOR VEH HOMOCI
RESIST ARR,DV
COMM CUSTODY JAIL,CHILD MOLEST 2 X 2
COMM CUSTODY JAIL,CHILD MOL 2
PSP,CONSPIRE TO
ASLT/VIO NC ORDER,DV
UPCS,FTA PTC
PROBAT HLD,UPCS W/INT
UPCS,ATT
UPCS,CONSP TO POSS
CONSP COMM PERJ 1,
SEX EXPLOIT MINOR,
UPCS W INTENT,HEROIN
MAL HARASS /DV,
COMM CUSTODY JAIL,UPCS W INT
SEX VIOL PRED,
POSS INJECTION DEVICE,
CRIM IMPERSON 1,FTA OMNIBUS HRG
THEFT 2,ACCESS DEVICE
MAL MISCH 1,D/V
THEFT OF MV,ATTEMPTED
LEADING ORGANIZED CRIME/ORG/MANAGE,
HOLD WSI,ASLT 1
CIVIL FAMILY COURT,
CONTEMPT - TRUANCY CRT ORD,
PROBAT HLD,DV ASSAULT 4TH
FALSE STATEMENT TO PUB SERVANT,FALSE STATEMENTS
UPCS,METH/HEROIN
DISORDERLY CONDUCT,
ASLT 4,SEXUAL MOTIVATION
FALSE REPORT,
PROBAT HLD,UMCS
PROBAT HLD,MAL MISCH 2
COMM CUSTODY JAIL,ASLT 3/PSP 2/THEFT 2
LITTERING GREATER THAN 1 CU. FT.,
IDENT THFT 2,BBS
UNL POSS FIREARM 1,BBS
UPCS W INTENT,BBS
POS WPN CAUSE HARM,
ALTERATION OR FORGERY,
ASLT 4,W/SEXUAL MOTIVATIO
COMM CUSTODY JAIL,HARR
ASLT 1,CONSPIRACY
ASLT 1,ATTEMPTED
PETTY THEFT,
COMM CUSTODY JAIL,ELUDE/UPCS/ASLT3
FUGITIVE,PROB VIO WEAPONS
CRIMINAL ATTEMPT,
THEFT 1,ATT
CCW,
PROSTITUTION,
UNLAW DEL CS,HEROIN
HOLD COMM CUSTODY,POSS PORNOGRAPHY
FUGITIVE,STALKING
CRIM TRESP,IST DEGREE
THEFT 2,DV
COMM CUSTODY JAIL,FAIL TO REG S/O
CIVIL CNTMPT OF CRT,CHILD NEGLECT
VEH PROWL,2ND DEGREE
FUGITIVE,PAROLE VIOLATION
UPCS,FAILED DRG CRT
COMM CUSTODY JAIL,CRIM MISCH ARMED
ENTRY ERROR,1ST
CRIM TRESP /DV,1ST
HARASSMENT - THREATEN MAL ACT,
COMM CUSTODY JAIL,ASLT CHILD
INTRO CONTRA 1,
ENTRY ERROR,FTA PTC
COMM CUSTODY JAIL,FTR FEL SEX OFFEND
COMM CUSTODY JAIL,ASSLT2/HARASS
VIOL CIV ANTI-HAR ORDER,
FALSE INFO,FALSE NAME
PROB VIOL (PROST),
POSSESSION OF UNLAWFUL FIREARMS,SHORT BARREL SHOT
UNL POSS FIREARM 1,FELON
MAL PLACEMENT OF EXPLOSIVES,
FLD TO OBEY POLICE OFFICER,
DWLS/DWLR,FTA
CRIM TRESP,1ST DEG
COMM CUSTODY JAIL,ASSAULT3
RES BURGLARY,D.V
ANTI-HARASSMENT ORDER,
RAPE 2,ATTEMPTED
DUTY IN CASE OF DEATH - VEH ACC,
IDENT THFT 2,DRUG COURT
ANIMAL CRUELTY 1 (C),
OBSTR PO,FAIL TO IDENTIFY
COMM CUSTODY JAIL,ATTEMPT UPCS
COMM CUSTODY JAIL,RAPE/CHILD 3
VOYEURISM -1 (C),ATTEMPT
PROBAT HLD,ASLT 2/ASLT 4
COMM CUSTODY JAIL,"UPCS, BAIL JMP, VUCSA"
COMM CUSTODY JAIL,VIO PROT ORD
POSSESS STOLEN VEHICLE,DRG CT
THEFT OF MV,DRG CT
ASLT 4,W/SEXUAL MOT
CONSP DEL CS,
VIOL COURT ORD /DV,NO CONTACT
COMM CUSTODY JAIL,UPCS/UPCS W/INT
BURGLARY 2,ATT
FEL HARASS (NON DV),THREATS TO KILL
COMM CUSTODY JAIL,UPSC
FUGITIVE,FORGERY
ROBBERY 1,CONSPIRACY
COMM CUSTODY JAIL,VEH ASSAULT
COMM CUSTODY JAIL,BURG 1
HOLD REMANN HALL,ASSAULT 4
PROBAT HLD,VIO NC ORDER
FAIL REGIS S/O,THIRD OFF
COMM CUSTODY JAIL,VIO PROT ORDER
FUGITIVE,FTRSO
MANSLAUGHTER 2,
ROBBERY 1,ATTEMP
UPCS W INTENT,FENTANYL
KIDNAPPING 1,D.V.
KIDNAPPING 1,D.V
COMM CUSTODY JAIL,ASSAULT 3/2 COUNTS
POSS WEAP ON SCHOOL PROP,
THEFT 1,FTA SUMMONS
FELONY DUI,PRIORS
COMM CUSTODY JAIL,THFT 1
ASSAULT 4 /DV,`
HOLD REMANN HALL,ESCAPE 3RD
HOLD REMANN HALL,THEFT
UNL POS EPH W/I MAN METH,
PROBAT HLD,BURG 2/PTSP 1
