booking_charge_desc,seriousness,category,type,notes,src,,,,,
CRIMINAL ATTEMPT,,other,other,depends on nature of crime,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.28.040,,,,,
CRIMINAL CONSPIRACY,,other,other,depends on nature of crime,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.28.040,,,,,
CRIMINAL SOLICITATION,,other,other,see criminal attempt,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.28.040,,,,,
CUST ASLT,,class C felony,violent,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.36.100,,,,,
CUST INTER,,class C felony,violent,based on custodial interference 1,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.40.060,,,,,
CYBERSTALKING,,gross misdemeanor,public order,can be class C felony,https://app.leg.wa.gov/rcw/default.aspx?cite=9.61.260,,,,,
DAMAGE FIRE ALARM,,misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9.40.100,,,,,
DATES AND TIMES TO SELL FIREWORKS,,misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=70.77&full=true#70.77.540,,,,,
DEAL DEP MIN ENG SEX EXP CONDUCT,,class B felony,sex,,http://app.leg.wa.gov/rcw/default.aspx?cite=9.68a&full=true#9.68A.050,,,,,
DEFRAUD INNKEEPER,,class B felony,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=19.48.110,,,,,
DEST PROP /DV,,gross misdemeanor,public order,"? malicious mischief refers to property damage, but 3 levels",,,,,,
DEST PROPERTY,,gross misdemeanor,public order,"? malicious mischief refers to property damage, but 3 levels",,,,,,
DESTROY VEH - FL SURR TITLE,,gross misdemeanor,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=46.12.600,,,,,
DESTRUCTION OF PROP,,gross misdemeanor,public order,"? malicious mischief refers to property damage, but 3 levels",,,,,,
DESTRUCTION OF PROPERTY,,gross misdemeanor,public order,"? malicious mischief refers to property damage, but 3 levels",,,,,,
Direct Dog to Harass/Attack Pub. Off,,gross misdemeanor,public order,assualt 3?,http://app.leg.wa.gov/rcw/default.aspx?cite=16.08&full=true,,,,,
DISARMING P.O.,,class C felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.023,,,,,
