booking_charge_desc,seriousness,category,type,notes,src,,,,,
SWITCHED LICENSE PLATES,,,public order,"its a traffic violation to display improper liscense plates, and considered unlawful to switch plates but I can't find any charges ",http://app.leg.wa.gov/rcw/default.aspx?cite=46.16A.200,,,,,
TAMP WITNESS,,class C felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.72.120,,,,,
TAMPER WITH FIRE ALARM (F),,misdemeanor,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9.40.100,,,,,
TAMPERING W/ IGN. INTERLOCK DEVICE,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=46.20.750,,,,,
TAMPERING W/PHYSICAL EVIDENCE,,gross misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.72.150,,,,,
TELEPHONE HARASSMENT,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=9.61.230,,,,,
THEFT 1,,class B felony,property,,http://app.leg.wa.gov/rcw/default.aspx?cite=9a.56.030,,,,,
THEFT 2,,class C felony,property,,http://app.leg.wa.gov/RCW/default.aspx?cite=9A.56.040.1A,,,,,
THEFT 3  /DV,,gross misdemeanor,property,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.56.050,,,,,
THEFT 3,,gross misdemeanor,property,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.56.050,,,,,
THEFT 3RD,,gross misdemeanor,property,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.56.050,,,,,
THEFT LIVESTCK,,class B/C felony,property,felony class depends on charge,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.080,,,,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.083
THEFT MTR VEH FUEL,,gross misdemeanor ,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.740,,,,,
THEFT OF MV,,class B felony,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.065,,,,,
THEFT RENTAL PROP <750,,gross misdemeanor,property,can increase in charge severtiy with value of property increasing ,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.56.096,,,,,
THEFT W/INTENT RESELL 1,,class B felony,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.340,,,,,
THEFT W/INTENT RESELL 2,,class C felony,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.340,,,,,
THEFT W/INTENT TO RESELL 3,,class C felony,property,RCW only specifies 1st and 2nd degree,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.340,,,,,
THFT OF FIREARM (B),,class B felony,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.300,,,,,
THFT RENT/LEAS PROP,,,property,can increase in charge severtiy with value of property increasing ,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.56.096,,,,,
THREAT BODILY INJ/DV,,,violent ,considered harrassment,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
THREAT TO BOMB OR INJURE PROPERTY,,class B felony,property,,http://app.leg.wa.gov/rcw/default.aspx?cite=9.61.160,,,,,
THREATENED BODILY INJURY-NON DV,,,violent ,considered harrassment,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
THREATS TO HARM-DV,,,violent ,considered harrassment,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
TMVWOP 1,,class B felony,property,TMWWOP=Taking Motor Vehicle WithOut Permission,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.070,,,,,
TMVWOP 2,,class C felony,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.075,,,,,
TRAFFICKING STOL PROP 1,,class B felony,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.82.050,,,,,
TRAFFICKING STOL PROP 2,,class C felony,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.82.055,,,,,
TRANS-CONS/INTOX,,misdemeanor,drug,I think this is consuming intoxicants on transit but am unsure ,http://app.leg.wa.gov/rcw/default.aspx?cite=9.91&full=true#9.91.025,,,,,
TRANSIT-SMOKING,,misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=9.91&full=true#9.91.025,,,,,
TRESP PUB,,misdemeanor,public order,trespassing public is not a charge in RCW,,,,,,
TRESPASS 2,,misdemeanor,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.52.080,,,,,
UIBC,,gross misdemeanor/class C felony,property,charge severity depends on amount check is worth UIBC=unlawful issuance of bank check ,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.060,,,,,
UMCS,,class C felony,drug,UMCS=unlawful manufacturing of controlled substance,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401,,,,,
UNL POS AMM W/I MAN METH,,class C felony,drug,"Unlawful Possession of Ammonia with inention of manufacturing meth, I assume this is also covered by unlawful manufacture but I am unsure ",http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401,,,,,
UNL POS ID CARD,,class C felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.320,,,,,
UNL POSS FICT ID,,class C felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.320,,,,,
UNL POSS FIREARM 1,,class B felony,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.040,,,,,
UNL POSS FIREARM 2,,class C felony,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.040,,,,,
UNL PROD PAYMENT INSTR,,class C felony,public order,unlawful production of payment instructions returns no results ,,,,,,
UNL SOL TO POSS CONT SUB,,,public order,solicitation not mentioned in controlled substances act ,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401,,,,,
UNL TRANSIT COND,,misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=9.91.025,,,,,
UNL USE FIREARM BY MINOR,,,public order,unlawful possession specified but not unlawful use ,,,,,,
UNLAW DEL CS,,class C felony,drug ,,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401,,,,,
UNLAW IMPRISON,,class C felony,violent,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.40.040,,,,,
UNLAW POS PAY INSTR,,class C felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.320,,,,,
UNLAW POSS PERSONAL IDENT DEVICE,,class C felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.320,,,,,
UNLAW SALE CS,,class C felony,drug ,,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401,,,,,
UNLAWFUL BUS CONDUCT,,misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=9.91.025,,,,,
Unlawful Camping,,civil infraction,public order,,http://apps.leg.wa.gov/wac/default.aspx?cite=352-32-030,,,,,
UNLAWFUL INHALATION,,misdemeanor,drug ,,http://app.leg.wa.gov/RCW/default.aspx?cite=9.47A.050,,,,,
"UNLAWFUL MAN,  SALE/OFFER SELL EXPLO",,class C felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=70.74.022,,,,,
UNLAWFUL USE OF A FORTIFED BLDG,,class C felony,drug,,http://app.leg.wa.gov/rcw/default.aspx?cite=69.53.030,,,,,
UPCS (MJ) NON,,,drug,"unclear as to MJ, if it is marijuana it depends on the gram amount",,,,,,
UPCS (MJ) PERS,,,drug,"unclear as to MJ, if it is marijuana it depends on the gram ",,,,,,
UPCS BY PERSON NOT A PRISONER,,class C felony,drug,don't know why this is specified ,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401,,,,,
UPCS LEGEND W/O PRESCRIPTION,,misdemeanor,drug,,http://app.leg.wa.gov/rcw/default.aspx?cite=69.41.030,,,,,
UPCS W INTENT,,class C felony,drug,,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401,,,,,
UPCS,,class C felony,drug,,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401,,,,,
URINATING IN PUBLIC,,civil infraction,public order,,http://www.codepublishing.com/WA/Pacific/html/Pacific09/Pacific0926.html,,,,,
URINATING IN PUBLIC(SIP),,civil infraction,public order,,http://www.codepublishing.com/WA/Pacific/html/Pacific09/Pacific0926.html,,,,,
UU BLDG DRUGS,,class C felony,drug,,http://app.leg.wa.gov/rcw/default.aspx?cite=69.53.010,,,,,
UUW,,,public order,"unlawful use of weapon, unlawful but charge not specified ",http://app.leg.wa.gov/RCW/default.aspx?cite=7.48.155,,,,,
VEH ASLT,,class B felony,violent,,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.522,,,,,
VEH HOMICIDE,,class A felony,violent,,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.520,,,,,
VEH OPR -REF COMPLY POLICE,,misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.020,,,,,
VEH OPR-REFUSE COMPLY POLICE,,misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.020,,,,,
VEH PROWL,,class C felony,property,,http://app.leg.wa.gov/rcw/default.aspx?cite=9a.52.100,,,,,
VEH/PED INTERFERENCE-OBSTRUCT TR,,misdemeanor,public order,illegal but charge not specified,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.570,,,,,
VEHICLE OPR-REFUSE COMPLY POLICE,,misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.020,,,,,
VEHICLE PROWL 2ND,,class C felony,property,,http://app.leg.wa.gov/rcw/default.aspx?cite=9a.52.100,,,,,
VEHICLE PROWLING 2ND DEGREE,,class C felony,property,,http://app.leg.wa.gov/rcw/default.aspx?cite=9a.52.100,,,,,
VIO ANTI HARRASS,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
VIO NC ORD /DV,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
VIO NO CONTACT ORDER,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
VIO ORDER RESTRICTING CONTACT,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
VIO PROT OR /DV,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
VIO REST OR /DV,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
VIO TRIP PERMIT,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=46.16A.320,,,,,
VIO. PROT. ORD - NON-DV,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
VIOL CIV ANTI-HAR ORDER,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
VIOL COURT ORD /DV,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
VIOL DISTRUB CS TO MINOR UNDER 18,,class C felony,public order,assume class C felony as with other controlled substances violations but no specific findings ,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401,,,,,
VIOL FOREIGN PROT ORD,,,public order,considered a crime but no charge given,http://app.leg.wa.gov/RCW/default.aspx?cite=26.52.070,,,,,
VIOL N/C ORDER,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
VIOL NARC,,,drug,not specific,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401,,,,,
VIOL OF SENTENCE/NCO DV,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
VIOL PROT ORD - NON DV,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
VIOL PROT ORD,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
VIOL PROTECTION OR/DV,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
VOYEURISM -1 (C),,class C felony,sex,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.44.115,,,,,
VUCSA CONSPIRACY,,class C felony,drug,assume class C felony as with other UCSA crimes ,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401,,,,,
WEAPONS POSS- PRISONER CO/LOC INST,,class B felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9.94.040,,,,,
WEAPONS POSS-PRISONER STATE INST,,class B felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9.94.040,,,,,
WEAPONS PROHIBITED IN CERTAIN PLACE,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.300,,,,,
WEAPONS-SELL/MAKE/BUY/POSSESS,,,public order,no charge found,http://app.leg.wa.gov/RCW/default.aspx?cite=9.41.040,,,,,
WEAPONS-UNL CARRY/SELL,,,public order,no charge found ,http://app.leg.wa.gov/RCW/default.aspx?cite=9.41.040,,,,,
